document,document_file_path,policy_id,employment_category,min_income_egp
This policy applies to Corporate (Multinational) applicants purchasing New Only vehicles. The interest rate is set at 15.1% with a maximum repayment period of 96 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 45%. Minimum verifiable monthly income requirement is 5000 EGP.,policy_001.txt,POL-001,Corporate (Multinational),5000
This policy applies to Retired / Pensioner applicants purchasing Used (Up to 10 yrs) vehicles. The interest rate is set at 18.75% with a maximum repayment period of 96 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 45%. Minimum verifiable monthly income requirement is 25000 EGP.,policy_002.txt,POL-002,Retired / Pensioner,25000
This policy applies to Retired / Pensioner applicants purchasing Used (Up to 5 yrs) vehicles. The interest rate is set at 17.68% with a maximum repayment period of 84 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 60%. Minimum verifiable monthly income requirement is 40000 EGP.,policy_003.txt,POL-003,Retired / Pensioner,40000
This policy applies to Salaried (Private) applicants purchasing Electric/Hybrid vehicles. The interest rate is set at 12.57% with a maximum repayment period of 60 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 50%. Minimum verifiable monthly income requirement is 5000 EGP.,policy_004.txt,POL-004,Salaried (Private),5000
This policy applies to Expat (Remittance) applicants purchasing Commercial Trucks vehicles. The interest rate is set at 15.69% with a maximum repayment period of 72 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 40%. Minimum verifiable monthly income requirement is 25000 EGP.,policy_005.txt,POL-005,Expat (Remittance),25000
This policy applies to Freelancer (Tech) applicants purchasing Used (Up to 5 yrs) vehicles. The interest rate is set at 21.18% with a maximum repayment period of 36 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 40%. Minimum verifiable monthly income requirement is 5000 EGP.,policy_006.txt,POL-006,Freelancer (Tech),5000
This policy applies to Salaried (Public Sector) applicants purchasing Commercial Trucks vehicles. The interest rate is set at 14.75% with a maximum repayment period of 96 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 40%. Minimum verifiable monthly income requirement is 7000 EGP.,policy_007.txt,POL-007,Salaried (Public Sector),7000
This policy applies to Corporate (Local LLC) applicants purchasing Used (Up to 10 yrs) vehicles. The interest rate is set at 17.85% with a maximum repayment period of 72 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 55%. Minimum verifiable monthly income requirement is 7000 EGP.,policy_008.txt,POL-008,Corporate (Local LLC),7000
This policy applies to Salaried (Public Sector) applicants purchasing Electric/Hybrid vehicles. The interest rate is set at 15.09% with a maximum repayment period of 84 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 40%. Minimum verifiable monthly income requirement is 15000 EGP.,policy_009.txt,POL-009,Salaried (Public Sector),15000
This policy applies to Salaried (Public Sector) applicants purchasing Used (Up to 10 yrs) vehicles. The interest rate is set at 17.4% with a maximum repayment period of 72 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 55%. Minimum verifiable monthly income requirement is 5000 EGP.,policy_010.txt,POL-010,Salaried (Public Sector),5000
This policy applies to Corporate (Local LLC) applicants purchasing New Only vehicles. The interest rate is set at 15.51% with a maximum repayment period of 96 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 35%. Minimum verifiable monthly income requirement is 25000 EGP.,policy_011.txt,POL-011,Corporate (Local LLC),25000
This policy applies to Salaried (Private) applicants purchasing Electric/Hybrid vehicles. The interest rate is set at 15.27% with a maximum repayment period of 96 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 55%. Minimum verifiable monthly income requirement is 5000 EGP.,policy_012.txt,POL-012,Salaried (Private),5000
This policy applies to Self-Employed (Professional) applicants purchasing New Only vehicles. The interest rate is set at 19.96% with a maximum repayment period of 48 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 50%. Minimum verifiable monthly income requirement is 25000 EGP.,policy_013.txt,POL-013,Self-Employed (Professional),25000
This policy applies to Salaried (Public Sector) applicants purchasing Commercial Trucks vehicles. The interest rate is set at 16.26% with a maximum repayment period of 36 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 35%. Minimum verifiable monthly income requirement is 15000 EGP.,policy_014.txt,POL-014,Salaried (Public Sector),15000
This policy applies to Expat (Remittance) applicants purchasing Used (Up to 10 yrs) vehicles. The interest rate is set at 17.2% with a maximum repayment period of 36 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 45%. Minimum verifiable monthly income requirement is 15000 EGP.,policy_015.txt,POL-015,Expat (Remittance),15000
This policy applies to Salaried (Public Sector) applicants purchasing Used (Up to 5 yrs) vehicles. The interest rate is set at 17.07% with a maximum repayment period of 36 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 55%. Minimum verifiable monthly income requirement is 25000 EGP.,policy_016.txt,POL-016,Salaried (Public Sector),25000
This policy applies to Freelancer (Creative) applicants purchasing Used (Up to 10 yrs) vehicles. The interest rate is set at 21.26% with a maximum repayment period of 84 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 40%. Minimum verifiable monthly income requirement is 25000 EGP.,policy_017.txt,POL-017,Freelancer (Creative),25000
This policy applies to Self-Employed (Professional) applicants purchasing Electric/Hybrid vehicles. The interest rate is set at 18.6% with a maximum repayment period of 48 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 50%. Minimum verifiable monthly income requirement is 15000 EGP.,policy_018.txt,POL-018,Self-Employed (Professional),15000
This policy applies to Retired / Pensioner applicants purchasing Electric/Hybrid vehicles. The interest rate is set at 15.12% with a maximum repayment period of 96 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 50%. Minimum verifiable monthly income requirement is 40000 EGP.,policy_019.txt,POL-019,Retired / Pensioner,40000
This policy applies to Freelancer (Tech) applicants purchasing Commercial Trucks vehicles. The interest rate is set at 20.51% with a maximum repayment period of 96 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 60%. Minimum verifiable monthly income requirement is 15000 EGP.,policy_020.txt,POL-020,Freelancer (Tech),15000
This policy applies to Corporate (Multinational) applicants purchasing Electric/Hybrid vehicles. The interest rate is set at 15.38% with a maximum repayment period of 60 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 60%. Minimum verifiable monthly income requirement is 40000 EGP.,policy_021.txt,POL-021,Corporate (Multinational),40000
This policy applies to Salaried (Private) applicants purchasing Electric/Hybrid vehicles. The interest rate is set at 15.11% with a maximum repayment period of 84 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 40%. Minimum verifiable monthly income requirement is 15000 EGP.,policy_022.txt,POL-022,Salaried (Private),15000
This policy applies to Freelancer (Tech) applicants purchasing New Only vehicles. The interest rate is set at 20.04% with a maximum repayment period of 72 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 45%. Minimum verifiable monthly income requirement is 40000 EGP.,policy_023.txt,POL-023,Freelancer (Tech),40000
This policy applies to Corporate (Multinational) applicants purchasing Electric/Hybrid vehicles. The interest rate is set at 14.76% with a maximum repayment period of 84 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 45%. Minimum verifiable monthly income requirement is 10000 EGP.,policy_024.txt,POL-024,Corporate (Multinational),10000
This policy applies to Self-Employed (Professional) applicants purchasing New Only vehicles. The interest rate is set at 19.8% with a maximum repayment period of 72 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 55%. Minimum verifiable monthly income requirement is 25000 EGP.,policy_025.txt,POL-025,Self-Employed (Professional),25000
This policy applies to Freelancer (Tech) applicants purchasing Electric/Hybrid vehicles. The interest rate is set at 17.98% with a maximum repayment period of 48 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 35%. Minimum verifiable monthly income requirement is 25000 EGP.,policy_026.txt,POL-026,Freelancer (Tech),25000
This policy applies to Self-Employed (Commercial) applicants purchasing Used (Up to 10 yrs) vehicles. The interest rate is set at 22.32% with a maximum repayment period of 48 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 55%. Minimum verifiable monthly income requirement is 5000 EGP.,policy_027.txt,POL-027,Self-Employed (Commercial),5000
This policy applies to Corporate (Local LLC) applicants purchasing Electric/Hybrid vehicles. The interest rate is set at 14.38% with a maximum repayment period of 36 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 45%. Minimum verifiable monthly income requirement is 25000 EGP.,policy_028.txt,POL-028,Corporate (Local LLC),25000
This policy applies to Salaried (Public Sector) applicants purchasing Electric/Hybrid vehicles. The interest rate is set at 12.53% with a maximum repayment period of 60 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 45%. Minimum verifiable monthly income requirement is 25000 EGP.,policy_029.txt,POL-029,Salaried (Public Sector),25000
This policy applies to Self-Employed (Professional) applicants purchasing Commercial Trucks vehicles. The interest rate is set at 18.75% with a maximum repayment period of 60 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 40%. Minimum verifiable monthly income requirement is 10000 EGP.,policy_030.txt,POL-030,Self-Employed (Professional),10000
This policy applies to Salaried (Private) applicants purchasing Used (Up to 10 yrs) vehicles. The interest rate is set at 16.06% with a maximum repayment period of 72 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 35%. Minimum verifiable monthly income requirement is 40000 EGP.,policy_031.txt,POL-031,Salaried (Private),40000
This policy applies to Corporate (Multinational) applicants purchasing Electric/Hybrid vehicles. The interest rate is set at 13.78% with a maximum repayment period of 36 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 45%. Minimum verifiable monthly income requirement is 5000 EGP.,policy_032.txt,POL-032,Corporate (Multinational),5000
This policy applies to Corporate (Multinational) applicants purchasing Used (Up to 5 yrs) vehicles. The interest rate is set at 17.31% with a maximum repayment period of 48 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 50%. Minimum verifiable monthly income requirement is 5000 EGP.,policy_033.txt,POL-033,Corporate (Multinational),5000
This policy applies to Freelancer (Creative) applicants purchasing Used (Up to 10 yrs) vehicles. The interest rate is set at 20.63% with a maximum repayment period of 60 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 60%. Minimum verifiable monthly income requirement is 7000 EGP.,policy_034.txt,POL-034,Freelancer (Creative),7000
This policy applies to Salaried (Private) applicants purchasing Used (Up to 5 yrs) vehicles. The interest rate is set at 16.27% with a maximum repayment period of 48 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 45%. Minimum verifiable monthly income requirement is 40000 EGP.,policy_035.txt,POL-035,Salaried (Private),40000
This policy applies to Self-Employed (Professional) applicants purchasing Electric/Hybrid vehicles. The interest rate is set at 17.07% with a maximum repayment period of 36 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 55%. Minimum verifiable monthly income requirement is 7000 EGP.,policy_036.txt,POL-036,Self-Employed (Professional),7000
This policy applies to Self-Employed (Commercial) applicants purchasing Used (Up to 10 yrs) vehicles. The interest rate is set at 20.41% with a maximum repayment period of 84 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 60%. Minimum verifiable monthly income requirement is 10000 EGP.,policy_037.txt,POL-037,Self-Employed (Commercial),10000
This policy applies to Corporate (Local LLC) applicants purchasing Electric/Hybrid vehicles. The interest rate is set at 13.58% with a maximum repayment period of 60 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 60%. Minimum verifiable monthly income requirement is 5000 EGP.,policy_038.txt,POL-038,Corporate (Local LLC),5000
